KOREAN,ENGLISH,CHINESE,JAPANESE,GREEK,RUSSIAN,ARABIAN,MONGOLIAN
어린왕자,A Little Prince,一个小王子,星の王子さま,,,,
그레이의 50가지 그림자,50 Shadows of Grey,格雷的50个阴影,グレーの50種類の影,,,,
해리포터,Harry Potter,哈利波特,ハリー・ポッター,,,,
해저 2만리,Twenty Thousand Leagues Under The Sea,潜艇2很棒,海底2万里,,,,
엄마 찾아 3만리,Find my mom 3 Great,找我妈妈3棒极了,母をたずね3万里,,,,
절대강좌 유니티,Absolute lecture unity,绝对的讲座团结,絶対講座ユニティ,,,,
아프니까 환자다,I'm sick because I'm sick.,我病了，因为我生病了,痛いから患者だ,,,,
세계 맥주 기행,World Beer Travel,世界啤酒之旅,世界のビール紀行,,,,
이 게임 공략집,Perfect guide for this game,这个游戏策略,このゲーム攻略本,,,,
작은 문,A Little Door,小门,小さなドア,,,,
소공녀,A Little girl,一个小女孩,小公女,,,,
안네의 일기,Anne's diary,安妮的日记,アンネの日記,,,,
RE:제로부터 시작하는 이세계 생활,RE:Fantasy world life starting from zero,RE：从零开始的世界生活,RE：ゼロから始めるが、世界の生活,,,,
@ㅏ이돌 마스터,Idol M@ster,偶像大师,アイドルマスター,,,,
창세기전,The war of genesis,创世纪展览,創世記伝,,,,
월드 오브 워크래프트 연대기,World of Warcraft : Cronicles,魔兽世界编年史,ワールド・オブ・ウォークラフトクロニクル,,,,
네크로노미콘,Necronomicon,死灵书,ネクロノミコン,,,,
현자의 책,Book of the wise,贤者的书,賢者の本,,,,
모렐로노미콘,Morellonomicon,莫雷洛名义锥,クロノミコン,,,,
책 모양 둔기,A blunt shaped like book,书形钝,本形鈍器,,,,
인싸 언어 사전,Dictionary of the sosial man,英语语言词典,インサ言語の辞書,,,,
타이타닉2,Titanic 2,泰坦尼克号2,タイタニック2,,,,Титаник 2
연애의행방,Where Love Is,爱在哪里,恋愛の行方,,,,Хайр бол хаана байна
첫 문장 못 쓰는 남자,A man who does not write the first sentence,一个不写第一句话的人,最初の文使えない男,,,,
파이이야기,Life of Pi,馅饼的故事,パイの話,,,,
공중그네,Trapeze,飞人,空中ブランコ,,,,
이것이C#이다,This is C #,这是C＃,これがC＃である,,,,
젤다의전설,The Legend of Zelda,塞尔达传说,ゼルダの伝説,,,,Зельдагийн домог
둠,DOOM,厄运,ドゥーム,,,,